Turn Number,Turn Time
1,0.05259644808642287 undocked start time:0.002298253581636621
2,0.04688896793152665 undocked start time:0.002678150549968561
3,0.034631341992194475 undocked start time:0.001313639408854067
4,0.03089719274191663 undocked start time:0
5,0.029512168805535838 undocked start time:0
6,0.015389109264686035 undocked start time:0
7,0.01585515997313644 undocked start time:0
8,0.014872186823975203 undocked start time:0
9,0.01422603377308665 undocked start time:0
10,0.013325932316801237 undocked start time:0
11,0.016024595662036067 undocked start time:0
12,0.014676905013040031 undocked start time:0
13,0.013780085603997239 undocked start time:0
14,0.014077931391263954 undocked start time:0
15,0.026910736109863276 undocked start time:0.0011503575585342651
16,0.025126943433505522 undocked start time:0.0009308706491848451
17,0.02569801965371943 undocked start time:0.0007815374996461566
18,0.026758531168987243 undocked start time:0.0010666653538478066
19,0.025195045913789627 undocked start time:0
20,0.02147279408476621 undocked start time:0
21,0.07901692838942148 undocked start time:0.0013694342119783265
22,0.03342190758329322 undocked start time:0.0015844083063693004
23,0.034791752051176905 undocked start time:0.001298459940357155
24,0.03426662449235951 undocked start time:0.0017952798417069094
25,0.03363195860682022 undocked start time:0
26,0.0316857045919533 undocked start time:0
27,0.0341903168939689 undocked start time:0.000883691220072369
28,0.033063754177943605 undocked start time:0.0008574348421315214
29,0.033294728252642236 undocked start time:0.0008910758263681595
30,0.04641019929001111 undocked start time:0.0023339458454000317
31,0.05226126901177153 undocked start time:0.004618250726255435
32,0.05538906003397748 undocked start time:0.0030002014356491635
33,0.05167583383487129 undocked start time:0.005445326631392522
34,0.05988382373272971 undocked start time:0.003910559289567628
35,0.06234248737334869 undocked start time:0.0035327136007630155
36,0.07100257927887665 undocked start time:0.004169841021734566
37,0.07910308212953998 undocked start time:0.005320198580268443
38,0.0738218578602774 undocked start time:0.005229532025191608
39,0.08533117702829496 undocked start time:0.008513630547326345
40,0.10973360853299474 undocked start time:0.009892910901032392
41,0.14804658701958506 undocked start time:0.013857623970103816
42,0.12263492598778347 undocked start time:0.01362870117493209
43,0.15472596341419886 undocked start time:0.02597083983076187
44,0.16595589831068924 undocked start time:0.016553005268094445
45,0.15243591495066866 undocked start time:0.013252496509746248
46,0.19009535578007464 undocked start time:0.017662747492003472
47,0.1146533973496644 undocked start time:0.011797729069460416
48,0.14024639149162077 undocked start time:0.01873966924348336
49,0.18233044225996853 undocked start time:0.01931771981409014
50,0.12903327708724888 undocked start time:0.019812078180007298
51,0.1480506895786382 undocked start time:0.022028690836481513
52,0.23547253070047525 undocked start time:0.032699857189920856
53,0.1753876815741351 undocked start time:0.0328118570520739
54,0.12468046193173876 undocked start time:0.01334234255301281
55,0.20248303284139535 undocked start time:0.027771452999237223
56,0.22909551290808672 undocked start time:0.04018538643849823
57,0.26194839555069294 undocked start time:0.028418836817837523
58,0.19825288420157872 undocked start time:0.02557453262621756
59,0.12818609864275032 undocked start time:0.012732292021794045
60,0.13339511787267533 undocked start time:0.02356920176098143
61,0.21239768730541098 undocked start time:0.014989930268806795
62,0.16471979726794217 undocked start time:0.023825201445907496
63,0.23110043351741538 undocked start time:0.02057966697886915
64,0.1541983743199502 undocked start time:0.022802843729834876
65,0.14835017638952674 undocked start time:0.014703571646885294
66,0.15719939626740942 undocked start time:0.017501927177118404
67,0.14313090076196833 undocked start time:0.013878957277180248
68,0.18703197493500578 undocked start time:0.0231806894186386
69,0.20593615679652544 undocked start time:0.021470742805241194
70,0.13832598359878912 undocked start time:0.011728806077363707
71,0.15681539674002476 undocked start time:0.013414957848257636
72,0.19296345481421007 undocked start time:0.020180077727082413
73,0.2153954272056282 undocked start time:0.02104448691960581
74,0.20712220661882252 undocked start time:0.020011052294089282
75,0.17412983696840634 undocked start time:0.019581514361212804
76,0.23560791514923274 undocked start time:0.03541575128317742
77,0.30652639196751785 undocked start time:0.06618945699757095
78,0.2795951430623891 undocked start time:0.0789192874839344
79,0.3388611214016972 undocked start time:0.0702144776847522
80,0.3365501498869943 undocked start time:0.07608236789862666
81,0.2789617079445641 undocked start time:0.03822928628190425
82,0.1868141290492762 undocked start time:0.03371442004378977
83,0.1843973115110007 undocked start time:0.027494120007231615
84,0.2037921594352916 undocked start time:0.02849022134537016
85,0.2274151047198707 undocked start time:0.03601595567266891
86,0.23285961083945317 undocked start time:0.04480856023562474
87,0.2597211162406765 undocked start time:0.06299151221558219
88,0.24447764782238224 undocked start time:0.056893878694712186
89,0.2883536963851938 undocked start time:0.05784772367460356
90,0.23671601634951855 undocked start time:0.036640775416486804
